Order,Description,Sector,Subsector,Stage,8- or 10-Digit HS Code,First brief_description,First Sector,First Subsector,First Stage
1369,"Other Made Up Articles, Including Dress Patterns: Surgical Drapes Of Spunlaced Or Bonded Fiber Fabric Disposable Surgical Drapes Of Man-Made Fibers",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6307906800,,,,
1370,"Other Made Up Articles, Including Dress Patterns: Surgical Drapes, NESOI, Not Spunlaced Or Bonded Fiber Fabric.",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6307907200,,,,
1371,N95 Respirators Of Textiles,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6307909845,,,,
1372,"Respirators Of Textiles, Other Than N95",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6307909850,,,,
1373,"Face Masks Of Textiles, Disposable",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6307909870,,,,
1374,"Face Masks Of Textiles, Other Than Disposable",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6307909875,,,,
1375,"Made Up Textile Articles, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6307909891,,,,
1376,Nonwoven Disposable Headgear Without Peaks Or Visors Of Manmade Fibers,Public Health,Personal Protective Equipment and Durable Medical Equipment,Final,6505008015,,,,
1377,"Undenatured ethyl alcohol of 80 percent vol. alcohol or higher, for nonbeverage purposes",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,22071060,,,,
1378,"Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80 percent vol., nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,22089080,,,,
1379,"Ethylene, propylene, butylene and butadiene, liquefied",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,27111400,,,,
1380,Methacrylic acid and its salts,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,29161300,,,,
1381,Acrylonitrile,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,29261000,,,,
1382,"Polyethylene having a specific gravity of less than 0.94 and having a relative viscosity of 1.44 or more, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39011010,,,,
1383,"Polyethylene having a specific gravity of less than 0.94, in primary forms, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39011050,,,,
1384,"Polyethylene having a specific gravity of 0.94 or more and having a relative viscosity of 1.44 or more, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39012010,,,,
1385,"Polyethylene having a specific gravity of 0.94 or more, in primary forms, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39012050,,,,
1386,"Ethylene copolymer: Vinyl acetate-vinyl chloride-ethylene terpoly w/ < 50% deriv of vinyl acetate, exc polymer aromatic/mod arom monomers",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39013020,,,,
1387,"Ethylene-vinyl acetate copolymers, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39013060,,,,
1388,"Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39014000,,,,
1389,"Polymers of ethylene, nesoi, in primary forms, elastomeric",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39019010,,,,
1390,"Ethylene copolymers, in primary forms, other than elastomeric",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39019055,,,,
1391,"Polypropylene, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39021000,,,,
1392,"Polystyrene, expandable, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39031100,,,,
1393,"Polystyrene, other than expandable, in primary forms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39031900,,,,
1394,Polycarbonates in primary forms,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,39074000,,,,
1395,"Acrylonitrile-butadiene rubber (NBR), latex, in primary forms or in plates, sheets or strip",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,40025100,,,,
1396,"Acrylonitrile-butadiene rubber (NBR), other than latex, in primary forms or in plates, sheets or strip",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,40025900,,,,
1397,"Nonwovens, of man-made filaments, weighing >25 but not >70 g/square m, whether or not impregnated, coated, covered or laminated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,56031200,,,,
1398,"Nonwovens, of man-made filaments, weighing >70 but not >150 g/square m, whether or not impregnated, coated, covered or laminated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,56031300,,,,
1399,"Nonwovens (except laminated), of man-made filaments, weighing >150 g/square m, whether or not impregnated, coated, or covered",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,56031490,,,,
1400,"Nonwovens (not of man-made filaments), weighing >25 but not >70 g/square m, whether or not impregnated, coated, covered or laminated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,56039200,,,,
1401,"Nonwovens (not of man-made filaments), weighing >70 but not >150 g/square m, whether or not impregnated, coated, covered or laminated",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,56039300,,,,
1402,Aluminum electrolytic fixed capacitors,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,85322200,,,,
1403,"Parts and accessories of breathing appliances and gas masks, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,90200090,,,,
1404,Placebos And Clinical Trial Kits Containing Other Chemicals Other Than Medicaments,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,3006938000,,,,
1405,Polyglycol Esters Of Methylphosphonic Acid,Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,3824920000,,,,
1406,"Mixtures Of Acyclic, Monohydric, Unsubstituted Alcohols Containing C11 Or Lower Alcohols Only",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,3824999310,,,,
1407,"Mixture Of Acyclic, Monohydric Unsubstituted Alcohols, Containing C12 Or Higher Alcohols Only",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,3824999320,,,,
1408,"Mixtures Of Acyclic, Monohydric, Unsubstituted Alcohols, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,3824999330,,,,
1409,"Mixtures Consisting Mainly Of Chemicals Contg A Phosphorus Atom Bonded One Methyl, Ethyl, N-Propyl Or Isopropyl Group, But No Other Carbon Atoms",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,3824999361,,,,
1410,"Chemical Products & Preparations & Residual Products Of The Chemical/Allied Industries, Mixtures Of A Kind Containing Magnesium Used As A Desulfurization Reagent",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,3824999386,,,,
1411,"Chemical products and preparations and residual products of the chemical or allied industries, nesoi",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,3824999397,,,,
1412,"Other Non-Wovens, Man-Made, Whether Or Not Impreg/Coated/Covered, Weighing 25-70 G/M2, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,5603120095,,,,
1413,"Other Non-Woven Fabrics, Of Man-Made Filaments, Other Than Floor Covering Underlays & Laminated Fabrics, Not Impregnated/Coated/Covered, Weighing Greater Than 150 G/M2",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,5603149090,,,,
1414,"Other Nonwovens, Not Manmade, Weighing More Than 25 Û 70 G/M2, Ready For Use, Packaged For Sale, Separated,Perforated, Or Impregnated, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,5603920070,,,,
1415,"Other Non-Wovens, Not Man-Made, Whether Or Not Impreg/Coated/Covered, Weighing 25-70 G/M2, NESOI",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,5603920095,,,,
1416,"Other Non-Woven Fabrics, Not Man-Made, Other Than Floor Covering Underlays & Laminated Fabrics, Not Impregated/Covered, Weighing Greater Than 70 And Less Than=150 G/M2",Public Health,Personal Protective Equipment and Durable Medical Equipment,Input,5603930090,,,,
1417,,,,,29061100,Menthol,Public Health,Pharmaceuticals & API,Final
1418,,,,,29146921,Quinone drugs,Public Health,Pharmaceuticals & API,Final
1419,,,,,29146990,"Quinones, nesoi",Public Health,Pharmaceuticals & API,Final
1420,,,,,29182330,"Esters of salicylic acid and their salts, described in additional U.S. note 3 to section VI",Public Health,Pharmaceuticals & API,Final
1421,,,,,29182350,"Esters of salicylic acid and their salts, nesoi",Public Health,Pharmaceuticals & API,Final
1422,,,,,29362100,"Vitamins A and their derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final
1423,,,,,29362200,"Vitamin B1 (Thiamine) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final
1424,,,,,29362300,"Vitamin B2 (Riboflavin) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final
1425,,,,,29362401,"Vitamin B5 (D- or DL-Pantothenic acid) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final
1426,,,,,29362500,"Vitamin B6 (Pyridoxine and related compounds with Vitamin B6 activity) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final
1427,,,,,29362600,"Vitamin B12 (Cyanocobalamin and related compounds with Vitamin B12 activity) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final
1428,,,,,29362700,"Vitamin C (Ascorbic acid) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final
1429,,,,,29362800,"Vitamin E (Tocopherols and related compounds with Vitamin E activity) and its derivatives, unmixed, natural or synthesized",Public Health,Pharmaceuticals & API,Final
1430,,,,,29362910,"Folic acid and its derivatives, unmixed",Public Health,Pharmaceuticals & API,Final
1431,,,,,29362916,Niacin and niacinamide,Public Health,Pharmaceuticals & API,Final
1432,,,,,29362920,"Aromatic or modified aromatic vitamins and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Final
1433,,,,,29362950,"Other vitamins and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Final
1434,,,,,29369001,"Vitamins or provitamins (including natural concentrates) and intermixtures of the foregoing, whether or not in any solvent",Public Health,Pharmaceuticals & API,Final
1435,,,,,29371100,"Somatotropin, its derivatives and structural analogues",Public Health,Pharmaceuticals & API,Final
1436,,,,,29371200,Insulin and its salts,Public Health,Pharmaceuticals & API,Final
1437,,,,,29371900,"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues, nesoi",Public Health,Pharmaceuticals & API,Final
1438,,,,,29372100,"Cortisone, hydrocortisone, prednisone (Dehydrocortisone) and prednisolone (Dehydrohydrocortisone)",Public Health,Pharmaceuticals & API,Final
1439,,,,,29372200,Halogenated derivatives of corticosteroidal hormones,Public Health,Pharmaceuticals & API,Final
1440,,,,,29372310,Estrogens and progestins obtained directly or indirectly from animal or vegetable materials,Public Health,Pharmaceuticals & API,Final
1441,,,,,29372325,Estradiol benzoate; and Estradiol cyclopentylpropionate (estradiol cypionate),Public Health,Pharmaceuticals & API,Final
1442,,,,,29372350,"Other estrogens and progestins not derived from animal or vegetable materials, nesoi",Public Health,Pharmaceuticals & API,Final
1443,,,,,29372910,Desonide; and Nandrolone phenpropionate,Public Health,Pharmaceuticals & API,Final
1444,,,,,29372990,"Steroidal hormones, their derivatives and structural analogues, nesoi",Public Health,Pharmaceuticals & API,Final
1445,,,,,29375000,"Prostaglandins, thromboxanes and leukotrienes, their derivatives and structural analogues",Public Health,Pharmaceuticals & API,Final
1446,,,,,29379005,Epinephrine,Public Health,Pharmaceuticals & API,Final
1447,,,,,29379010,Epinephrine hydrochloride,Public Health,Pharmaceuticals & API,Final
1448,,,,,29379020,"Catecholamine hormones, their derivatives and structural analogues, nesoi",Public Health,Pharmaceuticals & API,Final
1449,,,,,29379040,"l-Thyroxine(Levothyroxine), sodium",Public Health,Pharmaceuticals & API,Final
1450,,,,,29379045,"Amino-acid derivatives of hormones and their derivatives, nesoi",Public Health,Pharmaceuticals & API,Final
1451,,,,,29379090,"Other hormones,their derivatives and structural analogues,other steroid derivatives and structural analogue used primarily as hormones,nesoi",Public Health,Pharmaceuticals & API,Final
1452,,,,,29391100,"Concentrates of poppy straw; buprenorphine (INN), codeine, dihydrocodeine (INN), ethylmorphine, and other specified INNs; salts thereof",Public Health,Pharmaceuticals & API,Final
1453,,,,,29391910,Papaverine and its salts,Public Health,Pharmaceuticals & API,Final
1454,,,,,29391920,Synthetic alkaloids of opium and their derivatives; salts thereof; nesoi,Public Health,Pharmaceuticals & API,Final
1455,,,,,29391950,Nonsynthetic alkaloids of opium and their derivatives; salts thereof; nesoi,Public Health,Pharmaceuticals & API,Final
1456,,,,,29392000,"Alkaloids of cinchona, and their derivatives; salts thereof, other than quinine and its salts",Public Health,Pharmaceuticals & API,Final
1457,,,,,29393000,Caffeine and its salts,Public Health,Pharmaceuticals & API,Final
1458,,,,,29394100,Ephedrine and its salts,Public Health,Pharmaceuticals & API,Final
1459,,,,,29394200,Pseudoephedrine and its salts,Public Health,Pharmaceuticals & API,Final
1460,,,,,29394300,Cathine (INN) and its salts,Public Health,Pharmaceuticals & API,Final
1461,,,,,29394400,Norephedrine & its salts,Public Health,Pharmaceuticals & API,Final
1462,,,,,29394500,"Levometamfetamine, metamfetamine (INN), metamfetamine racemate and their salts",Public Health,Pharmaceuticals & API,Final
1463,,,,,29394903,"Alkaloids of ephedra and their salts, other than ephedrine, pseudoephedrine, cathine, norephedrine, levometamfetamine and their salts",Public Health,Pharmaceuticals & API,Final
1464,,,,,29395100,Fenetylline (INN) its salts,Public Health,Pharmaceuticals & API,Final
1465,,,,,29395900,Theophylline aminophylline (Theophylline-ethylenediamine) and their derivatives; salts thereof; nesoi,Public Health,Pharmaceuticals & API,Final
1466,,,,,29396100,Ergometrine and its salts,Public Health,Pharmaceuticals & API,Final
1467,,,,,29396200,Ergotamine and its salts,Public Health,Pharmaceuticals & API,Final
1468,,,,,29396300,Lysergic acid and its salts,Public Health,Pharmaceuticals & API,Final
1469,,,,,29396900,"Alkaloids of rye ergot and their derivatives, nesoi; salts thereof",Public Health,Pharmaceuticals & API,Final
1470,,,,,29397200,"Cocaine, ecgonine; salts, esters and other derivatives thereof",Public Health,Pharmaceuticals & API,Final
1471,,,,,29397900,"Vegetable alkaloids, natural or reproduced by synthesis, their salts and other derivatives, nesoi",Public Health,Pharmaceuticals & API,Final
1472,,,,,29398000,"Other alkaloids, natural or reproduced by synthesis and their salts, ethers, esters & other derivatives, nesoi",Public Health,Pharmaceuticals & API,Final
1473,,,,,29411010,Ampicillin and its salts,Public Health,Pharmaceuticals & API,Final
1474,,,,,29411020,Penicillin G salts,Public Health,Pharmaceuticals & API,Final
1475,,,,,29411030,"Carfecillin, sodium; cloxacillin, sodium; dicloxacillin, sodium; flucloxacillin (Floxacillin); and oxacillin, sodium",Public Health,Pharmaceuticals & API,Final
1476,,,,,29411050,"Penicillins and their derivatives nesoi, with a penicillanic acid structure; salts thereof",Public Health,Pharmaceuticals & API,Final
1477,,,,,29412050,"Streptomycins and their derivatives; salts thereof, nesoi",Public Health,Pharmaceuticals & API,Final
1478,,,,,29413000,Tetracyclines and their derivatives; salts thereof,Public Health,Pharmaceuticals & API,Final
1479,,,,,29414000,Chloramphenicol and their derivatives; salts thereof,Public Health,Pharmaceuticals & API,Final
1480,,,,,29415000,Erythromycin and their derivatives; salts thereof,Public Health,Pharmaceuticals & API,Final
1481,,,,,29419010,"Natural antibiotics, nesoi",Public Health,Pharmaceuticals & API,Final
1482,,,,,29419030,"Antibiotics, nesoi, aromatic or modified aromatic, other than natural",Public Health,Pharmaceuticals & API,Final
1483,,,,,29419050,"Antibiotics nesoi, other than aromatic or modified aromatic antibiotics",Public Health,Pharmaceuticals & API,Final
1484,,,,,30012000,Extracts of glands or other organs or of their secretions for organotherapeutic uses,Public Health,Pharmaceuticals & API,Final
1485,,,,,30019001,"Glands and other organs for organotherapeutic uses, dried, whether or not powdered",Public Health,Pharmaceuticals & API,Final
1486,,,,,30021200,Antisera and other blood fractions including human blood and fetal bovine serum,Public Health,Pharmaceuticals & API,Final
1487,,,,,30021300,"Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale",Public Health,Pharmaceuticals & API,Final
1488,,,,,30021400,"Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale",Public Health,Pharmaceuticals & API,Final
1489,,,,,30024100,Vaccines for human medicine,Public Health,Pharmaceuticals & API,Final
1490,,,,,30024200,Vaccines for veterinary medicine,Public Health,Pharmaceuticals & API,Final
1491,,,,,30024900,Toxins or cultures of micro-organisms (excluding yeasts),Public Health,Pharmaceuticals & API,Final
1492,,,,,30025100,Cell therapy products,Public Health,Pharmaceuticals & API,Final
1493,,,,,30025900,"Other cell cultures, other than cell therapy products",Public Health,Pharmaceuticals & API,Final
1494,,,,,30029010,"Ferments, excluding yeasts",Public Health,Pharmaceuticals & API,Final
1495,,,,,30029052,"Human blood; animal blood prepared for therapeutic, prophylactic, diagnostic uses; antisera; antiallergenic preparations nesoi & like products",Public Health,Pharmaceuticals & API,Final
1496,,,,,30031000,"Medicaments, cont. penicillins or streptomycins, not dosage form and not packed for retail",Public Health,Pharmaceuticals & API,Final
