Order,8- or 10-Digit HS Code,First brief_description,First Sector,First Subsector,First Stage
399,28191000,Chromium trioxide,Energy,Fuel Cells,Input
400,28199000,"Chromium oxides and hydroxides, other than chromium trioxide",Energy,Fuel Cells,Input
401,28230000,Titanium oxides,Energy,Fuel Cells,Input
402,28413000,Sodium dichromate,Energy,Fuel Cells,Input
403,28415010,Potassium dichromate,Energy,Fuel Cells,Input
404,28415091,Chromates except of zinc or lead and dichromates except of sodium or potassium; peroxochromates,Energy,Fuel Cells,Input
405,28499020,Chromium carbide,Energy,Fuel Cells,Input
406,32061100,Pigments & preparations based on titanium dioxide containing 80 percent or more by weight off titanium dioxide calculated on the dry weight,Energy,Fuel Cells,Input
407,32061900,"Pigments and preparations based on titanium dioxide, nesoi",Energy,Fuel Cells,Input
408,32074010,"Glass frit and other glass, ground or pulverized",Energy,Fuel Cells,Input
409,32074050,"Glass frit and other glass, in the form of granules or flakes",Energy,Fuel Cells,Input
410,32141000,"Glaziers' putty, grafting putty, resin cements, caulking compounds and other mastics; painters' fillings",Energy,Fuel Cells,Input
411,38249931,Mixtures of bismuth,Energy,Fuel Cells,Input
412,38249933,Mixtures of mercury,Energy,Fuel Cells,Input
413,38249934,Mixtures of molybdenum,Energy,Fuel Cells,Input
414,38249935,Mixtures of tungsten,Energy,Fuel Cells,Input
415,38249936,Mixture of vanadium,Energy,Fuel Cells,Input
416,39269045,"Gaskets, washers and other seals, of plastics",Energy,Fuel Cells,Input
417,69091950,"Ceramic wares for laboratory, chemical or other technical uses (o/than of porcelain or china), nesoi",Energy,Fuel Cells,Input
418,70198010,Insulation products of glass wool,Energy,Fuel Cells,Input
419,71101100,"Platinum, unwrought or in powder form",Energy,Fuel Cells,Input
420,71101900,"Platinum, in semimanufactured forms",Energy,Fuel Cells,Input
421,71104100,"Iridium, osmium and ruthenium, unwrought or in powder form",Energy,Fuel Cells,Input
422,71104900,"Iridium, osmium and ruthenium, in semimanufactured forms",Energy,Fuel Cells,Input
423,71151000,Platinum catalysts in the form of wire cloth or grill,Energy,Fuel Cells,Input
424,72024100,Ferrochromium containing by weight more than 4 percent of carbon,Energy,Fuel Cells,Input
425,72024910,Ferrochromium containing by weight more than 3 percent but not more than 4 percent of carbon,Energy,Fuel Cells,Input
426,72024950,Ferrochromium containing by weight 3 percent or less of carbon,Energy,Fuel Cells,Input
427,72025000,Ferrosilicon chromium,Energy,Fuel Cells,Input
428,72026000,Ferronickel,Energy,Fuel Cells,Input
429,72029100,Ferrotitanium and ferrosilicon titanium,Energy,Fuel Cells,Input
430,72171010,"Iron/nonalloy steel, flat wire, <0.25% carbon, not plated or coated, w/thick n/o 0.25 mm",Energy,Fuel Cells,Input
431,72171020,"Iron/nonalloy steel, flat wire, <0.25% carbon, not plated or coated, w/thick o/0.25mm but n/o 1.25 mm",Energy,Fuel Cells,Input
432,72171030,"Iron/nonalloy steel, flat wire, <0.25% carbon, not plated or coated, w/thick o/1.25 mm",Energy,Fuel Cells,Input
433,72171040,"Iron/nonalloy steel, round wire, <0.25% carbon, not plated or coated, w/diameter less than 1.5 mm",Energy,Fuel Cells,Input
434,72171050,"Iron/nonalloy steel, round wire, <0.25% carbon, not plated or coated, w/diameter of 1.5 mm or more",Energy,Fuel Cells,Input
435,72171060,"Iron/nonalloy steel, wire (other than flat or round), <0.25% carbon, not plated or coated",Energy,Fuel Cells,Input
436,72171070,"Iron/nonalloy steel, flat wire, w/0.25% or more carbon, not plated or coated",Energy,Fuel Cells,Input
437,72171080,"Iron/nonalloy steel, round wire, w/0.25% or more carbon, not plated or coated",Energy,Fuel Cells,Input
438,72171090,"Iron/nonalloy steel, wire (other than flat or round), w/0.25% or more of carbon, not plated or coated",Energy,Fuel Cells,Input
439,72172015,"Iron/nonalloy steel, flat wire, plated or coated with zinc",Energy,Fuel Cells,Input
440,72172030,"Iron/nonalloy steel, round wire, <0.25% carbon, plated or coated with zinc, w/diameter of 1.5 mm or more",Energy,Fuel Cells,Input
441,72172045,"Iron/nonalloy steel, round wire, w/0.25% or more carbon and/or <1.5mm diam, plated or coated with zinc",Energy,Fuel Cells,Input
442,72172060,"Iron/nonalloy steel, wire (other than flat or round), <0.25% carbon, plated or coated with zinc",Energy,Fuel Cells,Input
443,72172075,"Iron/nonalloy steel, wire (other than flat or round), w/0.25% or more of carbon, plated or coated with zinc",Energy,Fuel Cells,Input
444,73043160,"Iron (o/than cast) or nonalloy steel, seamless, cold-drawn or cold-rolled, tubes, pipes & hollow profiles, w/circular cross section, nesoi",Energy,Fuel Cells,Input
445,73044130,"Stainless steel, seamless, cold-drawn/cold-rolled, tubes, pipes and hollow profiles, w/circular cross section & extern. diam less than 19mm",Energy,Fuel Cells,Input
446,73044160,"Stainless steel, seamless, cold-drawn/cold-rolled, tubes, pipes and hollow profiles, w/circular cross section & extern. diam of 19mm or more",Energy,Fuel Cells,Input
447,73045110,"Alloy steel (o/than stainless), seamless, cold-drawn/cold-rolled, tubes, pipes, etc., w/circ. cross sect., for mfr of ball/roller bearings",Energy,Fuel Cells,Input
448,73045150,"Alloy steel (o/than stainless), seamless, cold-drawn/cold-rolled, tubes, pipes and hollow profiles, w/circular cross section, nesoi",Energy,Fuel Cells,Input
449,73064010,"Stainless steel, welded, w/circ. x-sect & ext. diam. 406.4mm or less, tubes, pipes, hollow profiles, w/wall thick. less than 1.65 mm",Energy,Fuel Cells,Input
450,73064050,"Stainless steel, welded, w/circ. x-sect & ext. diam. 406.4mm or less, tubes, pipes, hollow profiles, w/wall thick. of 1.65 mm or more",Energy,Fuel Cells,Input
451,73071930,"Cast ductile iron or steel, fittings for tubes or pipes",Energy,Fuel Cells,Input
452,73071990,"Cast iron or steel, fittings for tubes or pipes, nesoi",Energy,Fuel Cells,Input
453,73072210,"Stainless steel, not cast, threaded sleeves (couplings) for tubes/pipes",Energy,Fuel Cells,Input
454,73072250,"Stainless steel, not cast, threaded elbow and bends for tubes/pipes",Energy,Fuel Cells,Input
455,73072900,"Stainless steel, not cast, fittings for tubes/pipes, nesoi",Energy,Fuel Cells,Input
456,73079230,"Iron or steel (o/than stainless), not cast, threaded sleeves (couplings) for tubes/pipes",Energy,Fuel Cells,Input
457,73079290,"Iron or steel (o/than stainless), not cast, threaded elbow and bends for tubes/pipes",Energy,Fuel Cells,Input
458,73079910,"Iron or nonalloy steel, fittings for tubes/pipes, nesoi, forged, not machined, not tooled and not otherwise processed after forging",Energy,Fuel Cells,Input
459,73079930,"Alloy steel (o/than stainless), fittings for tubes/pipes, nesoi, forged, not machined/tooled and not otherwise processed after forging",Energy,Fuel Cells,Input
460,73079950,"Iron/steel (o/than stainless), n/cast, fittings for tubes/pipes, nesoi, not forged or forged and machined, tooled & processed after forging",Energy,Fuel Cells,Input
461,74071015,"Refined copper, hollow profiles",Energy,Fuel Cells,Input
462,74071030,"Refined copper, profiles (o/than hollow profiles)",Energy,Fuel Cells,Input
463,74071050,"Refined copper, bars and rods",Energy,Fuel Cells,Input
464,74091910,"Refined copper, plates, sheets and strip, not in coils, with a thickness of 5 mm or more",Energy,Fuel Cells,Input
465,74091950,"Refined copper, plates, sheets and strip, not in coils, with a thickness o/0.15mm but less than 5 mm & a width of 500 mm or more",Energy,Fuel Cells,Input
466,74091990,"Refined copper, plates, sheets and strip, not in coils, with a thickness o/0.15mm but less than 5 mm & a width of less than 500 mm",Energy,Fuel Cells,Input
467,74101100,"Refined copper, foil, w/thickness of 0.15 mm or less, not backed",Energy,Fuel Cells,Input
468,74122000,"Copper alloys, fittings for tubes and pipes",Energy,Fuel Cells,Input
469,75021000,"Nickel (o/than alloy), unwrought",Energy,Fuel Cells,Input
470,75030000,"Nickel, waste and scrap",Energy,Fuel Cells,Input
471,75040000,"Nickel, powders and flakes",Energy,Fuel Cells,Input
472,76081000,"Aluminum (o/than alloy), tubes and pipes",Energy,Fuel Cells,Input
473,76090000,"Aluminum, fittings for tubes and pipes",Energy,Fuel Cells,Input
474,76161070,"Aluminum, screws, bolts, nuts, screw hooks, washers and similar articles w/shanks, threads, or holes o/6 mm in diameter",Energy,Fuel Cells,Input
475,76161090,"Aluminum, screws, bolts, nuts, screw hooks, washers and similar articles w/shanks, threads or holes 6 mm  or less in diameter",Energy,Fuel Cells,Input
476,76169951,"Aluminum, articles, nesoi",Energy,Fuel Cells,Input
477,79011100,"Zinc (o/than alloy), unwrought, containing o/99.99% by weight of zinc",Energy,Fuel Cells,Input
478,79011210,"Zinc (o/than alloy), unwrought, casting-grade zinc, containing at least 97.5% but less than 99.99% by weight of zinc",Energy,Fuel Cells,Input
479,79011250,"Zinc (o/than alloy), unwrought, o/than casting-grade zinc, containing at least 97.5% but less than 99.99% by wt. of zinc",Energy,Fuel Cells,Input
480,79012000,"Zinc alloy, unwrought",Energy,Fuel Cells,Input
481,81082000,"Titanium, unwrought; titanium powders",Energy,Fuel Cells,Input
482,81083000,Titanium waste and scrap,Energy,Fuel Cells,Input
483,81122100,"Chromium, unwrought; chromium powders",Energy,Fuel Cells,Input
484,81122200,Chromium waste and scrap,Energy,Fuel Cells,Input
485,81122900,"Articles of chromium, nesoi",Energy,Fuel Cells,Input
486,83071030,"Iron or steel flexible tubing, with fittings",Energy,Fuel Cells,Input
487,83071060,"Iron or steel flexible tubing, without fittings",Energy,Fuel Cells,Input
488,84135000,"Reciprocating positive displacement pumps for liquids, not fitted with a measuring device, nesoi",Energy,Fuel Cells,Input
489,84136000,"Rotary positive displacement pumps for liquids, not fitted with a measuring device, nesoi",Energy,Fuel Cells,Input
490,84148005,Turbocharger and supercharger air compressors,Energy,Fuel Cells,Input
491,84148016,"Air compressors, nesoi",Energy,Fuel Cells,Input
492,84148020,"Gas compressors, nesoi",Energy,Fuel Cells,Input
493,84149030,Stators and rotors of goods of subheading 8414.30,Energy,Fuel Cells,Input
494,84149041,"Parts of air or gas compressors, nesoi",Energy,Fuel Cells,Input
495,84159080,"Parts for air conditioning machines, nesoi",Energy,Fuel Cells,Input
496,84842000,Mechanical seals,Energy,Fuel Cells,Input
497,85023900,"Electric generating sets, nesoi",Energy,Fuel Cells,Input
498,85044040,Electrical speed drive controllers for electric motors (static converters),Energy,Fuel Cells,Input
499,85044060,Power supplies suitable for physical incorporation into automatic data processing machines or units thereof of heading 8471,Energy,Fuel Cells,Input
500,85044070,"Power supplies for automatic data processing machines or units thereof of heading 8471, nesoi",Energy,Fuel Cells,Input
501,85044085,"Static converters (for example, rectifiers) for telecommunication apparatus",Energy,Fuel Cells,Input
502,85044095,"Static converters (for example, rectifiers), nesoi",Energy,Fuel Cells,Input
503,85340000,"Printed circuits, without elements (other than connecting elements) fitted thereon",Energy,Fuel Cells,Input
504,85351000,"Fuses, for a voltage exceeding 1,000 V",Energy,Fuel Cells,Input
505,85353000,"Isolating switches and make-and-break switches, for a voltage exceeding 1,000 V",Energy,Fuel Cells,Input
506,85354000,"Lightning arrestors, voltage limiters and surge suppressors, for a voltage exceeding 1,000 V",Energy,Fuel Cells,Input
507,85359040,"Electrical motor starters and electrical motor overload protector, for a voltage exceeding 1,000 V",Energy,Fuel Cells,Input
508,85359080,"Electrical apparatus nesoi for switching, protecting, or making connections for electrical circuits, for a voltage exceeding 1,000 V, nesoi",Energy,Fuel Cells,Input
509,85361000,"Fuses, for a voltage not exceeding 1,000 V",Energy,Fuel Cells,Input
510,85371091,"Other boards, panels, consoles, desks, cabinets, etc., equipped with apparatus for electric control, for a voltage not exceeding 1,000, nesoi",Energy,Fuel Cells,Input
511,85372000,"Boards, panels, consoles, desks, cabinets and other bases, equipped with apparatus for electric control, for a voltage exceeding 1,000 V",Energy,Fuel Cells,Input
512,85437020,"Physical vapor deposition apparatus, nesoi",Energy,Fuel Cells,Input
513,85439012,Parts of physical vapor deposition apparatus of subheading 8543.70,Energy,Fuel Cells,Input
514,85444290,"Insulated electric conductors nesoi, for a voltage not exceeding 1,000 V, fitted with connectors, nesoi",Energy,Fuel Cells,Input
515,85444910,"Insulated electric conductors of a kind used for telecommunications, for a voltage not exceeding 80 V, not fitted with connectors",Energy,Fuel Cells,Input
516,85444920,"Insulated electric conductors nesoi, for a voltage not exceeding 80 V, not fitted with connectors",Energy,Fuel Cells,Input
517,85444930,"Insulated electric conductors nesoi, of copper, for a voltage not exceeding 1,000 V, not fitted with connectors",Energy,Fuel Cells,Input
518,85444990,"Insulated electric conductors nesoi, not of copper, for a voltage not exceeding 1,000 V, not fitted with connectors",Energy,Fuel Cells,Input
519,85446020,"Insulated electric conductors nesoi, for a voltage exceeding 1,000 V, fitted with connectors",Energy,Fuel Cells,Input
520,85446040,"Insulated electric conductors nesoi, of copper, for a voltage exceeding 1,000 V, not fitted with connectors",Energy,Fuel Cells,Input
521,85446060,"Insulated electric conductors nesoi, not of copper, for a voltage exceeding 1,000 V, not fitted with connectors",Energy,Fuel Cells,Input
522,85452000,Carbon brushes of a kind used for electrical purposes,Energy,Fuel Cells,Input
523,85469000,"Electrical insulators of any material, other than glass or ceramics",Energy,Fuel Cells,Input
524,85472000,"Insulating fittings for electrical machines, appliances or equipment, of plastics",Energy,Fuel Cells,Input
525,90251940,"Pyrometers, not combined with other instruments",Energy,Fuel Cells,Input
526,90251980,"Thermometers, for direct reading, not combined with other instruments, other than liquid-filled thermometers",Energy,Fuel Cells,Input
527,90258010,"Electrical: hydrometers & sim. floating instr., hygrometers, psychometers, & any comb. with or w/o thermometers, pyrometers, & barometers",Energy,Fuel Cells,Input
528,90261040,"Flow meters, other than electrical, for measuring or checking the flow of liquids",Energy,Fuel Cells,Input
529,90261060,"Instruments and apparatus for measuring or checking the level of liquids, other than flow meters, non-electrical",Energy,Fuel Cells,Input
530,90262040,Electrical instruments and apparatus for measuring or checking the pressure of liquids or gases,Energy,Fuel Cells,Input
531,90262080,"Instruments and apparatus, other than electrical, for measuring or checking the pressure of liquids or gases",Energy,Fuel Cells,Input
532,90268020,"Electrical instruments and apparatus for measuring or checking variables of liquids or gases, nesoi",Energy,Fuel Cells,Input
533,90268040,"Nonelectrical heat meters incorporating liquid supply meters, and anemometers",Energy,Fuel Cells,Input
534,90268060,"Nonelectrical instruments and apparatus for measuring or checking variables of liquids or gases, nesoi",Energy,Fuel Cells,Input
535,90269020,Parts and accessories of electrical instruments and apparatus for measuring or checking variables of liquids or gases,Energy,Fuel Cells,Input
536,90269040,"Parts and accessories of nonelectrical flow meters, heat meters incorporating liquid supply meters and anemometers",Energy,Fuel Cells,Input
537,90269060,"Parts and accessories of nonelectrical instruments and apparatus for measuring or checking variables of liquids or gases, nesoi",Energy,Fuel Cells,Input
538,90271020,Electrical gas or smoke analysis apparatus,Energy,Fuel Cells,Input
539,90271040,Nonelectrical optical instruments and apparatus for gas or smoke analysis,Energy,Fuel Cells,Input
540,90271060,"Nonelectrical gas or smoke analysis apparatus, other than optical instruments and apparatus",Energy,Fuel Cells,Input
541,90328920,"Automatic voltage and voltage-current regulators, designed for use in a 6, 12, or 24 V system",Energy,Fuel Cells,Input
542,90328940,"Automatic voltage and voltage-current regulators, not designed for use in a 6, 12, or 24 V system",Energy,Fuel Cells,Input
543,90328960,"Automatic regulating or controlling instruments and apparatus, nesoi",Energy,Fuel Cells,Input
544,90329021,"Parts and accessories of automatic voltage and voltage-current regulators designed for use in a 6, 12, or 24 V system, nesoi",Energy,Fuel Cells,Input
545,90329041,"Parts and accessories of automatic voltage and voltage-current regulators, not designed for use in a 6, 12, or 24 V system, nesoi",Energy,Fuel Cells,Input
546,90329061,"Parts and accessories for automatic regulating or controlling instruments and apparatus, nesoi",Energy,Fuel Cells,Input
