label,value
"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in headings 290371 to 290376, perhalogenated only with fluorine and chlorine",290377
"Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; perhalogenated derivatives, other than those only with fluorine and chlorine, n.e.c. in item no. 2903.71 to 2903.76",290378
Halogenated derivatives of acyclic hydrocarbons containing two or more different halogens; n.e.c. in item no. 2903.7,290379
"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons; n.e.c. in item no. 2903.8",290389
Halogenated derivatives of aromatic hydrocarbons; pentachlorobenzene (ISO),290393
Halogenated derivatives of aromatic hydrocarbons; hexabromobiphenyls,290394
"Halogenated derivatives of aromatic hydrocarbons; n.e.c. in item no. 2903.91, 2903.92, 2903.93 and 2903.94",290399
"Derivatives of hydrocarbons; containing only sulpho groups, their salts and ethyl esters, whether or not halogenated",290410
"Derivatives of hydrocarbons; perfluorooctane sulphonic acid, whether or not halogenated",290431
"Derivatives of hydrocarbons; ammonium perfluorooctane sulphonate, whether or not halogenated",290432
"Derivatives of hydrocarbons; lithium perfluorooctane sulphonate, whether or not halogenated",290433
"Derivatives of hydrocarbons; potassium perfluorooctane sulphonate, whether or not halogenated",290434
"Derivatives of hydrocarbons; salts of perfluorooctane sulphonic acid n.e.c in heading no. 2904, whether or not halogenated",290435
"Derivatives of hydrocarbons; perfluorooctane sulphonyl fluoride, whether or not halogenated",290436
"Derivatives of hydrocarbons; trichloronitromethane (chloropicrin), whether or not halogenated",290491
"Derivatives of hydrocarbons n.e.c. in heading no. 2904, whether or not halogenated",290499
"Alcohols; saturated monohydric, n.e.c. in item no. 2905.1",290519
"Alcohols; unsaturated monohydric, acyclic terpene alcohols",290522
"Alcohols; acyclic, unsaturated monohydric, (other than acyclic terpene alcohols)",290529
"Alcohols; acyclic, diols, other than ethylene glycol (ethandiol) or propylene glycol (propane-1,2-diol)",290539
"Alcohols; polyhydric, n.e.c. in item no. 2905.4",290549
"Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosated derivatives thereof, ethchlorvynol (INN)",290551
"Alcohols; acyclic; halogenated, sulphonated, nitrated or nitrosated derivatives thereof, other than ethchlorvynol (INN)",290559
"Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, menthol",290611
"Alcohols; cyclanic, cyclenic or cycloterpenic and derivatives, n.e.c. in item no. 2906.1",290619
"Alcohols; aromatic and derivatives, other than benzyl alcohol",290629
Monophenols; n.e.c. in item no. 2907.1,290719
Phenol-alcohols and polyphenols n.e.c. in item number 2907.2,290729
Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts; pentachlorophenol (ISO),290811
Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts; other than pentachlorophenol (ISO),290819
"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof; dinoseb (ISO) and its salts",290891
"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof; 4,6-dinitro-o-cresol (DNOC (ISO)) and its salts",290892
"Phenol or phenol-alcohol derivatives, sulphonated, nitrated or nitrosated derivatives thereof; other than dinoseb (ISO), and 4,6-dinitro-o-cresol (DNOC (ISO)), and their salts",290899
"Ethers; acyclic, and their halogenated, sulphonated, nitrated or nitrosated derivatives, other than diethyl ether",290919
"Ethers; aromatic, and their halogenated, sulphonated, nitrated or nitrosated derivatives",290930
"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives; n.e.c. in item no. 2909.4",290949
"Ether-phenols, ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives",290950
"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, methyloxirane (propylene oxide)",291020
"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, dieldrin (ISO, INN)",291040
"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, endrin (ISO)",291050
"Epoxides, epoxyalcohols, epoxyphenols and epoxyethers; with a three-membered ring and their halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2910",291090
"Acetals and hemiacetals; whether or not with other oxygen function, and their halogenated, sulphonated, nitrated or nitrosated derivatives",291100
"Aldehydes; acyclic, without other oxygen function, n.e.c. in item no. 2912.1",291219
"Aldehydes; cyclic, without other oxygen function, other than benzaldehyde",291229
"Aldehyde-alcohols, aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function; other than vanillin (4-hydroxy-3-methoxybenzaldehyde) and ethylvanillin (3-ethoxy-4-hydroxybenzaldehyde)",291249
"Aldehydes; halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading no. 2912",291300
"Ketones; acyclic, without other oxygen function, n.e.c. in item no. 2914.1",291419
"Ketones; cyclanic, cyclenic or cycloterpenic, without other oxygen function, other than cyclohexanone, methylcyclohexanones, ionones, and methylionones",291429
"Ketones; aromatic, (without other oxygen function), excluding phenylacetone (phenylpropan-2-one)",291439
Ketone-alcohols and ketone-aldehydes,291440
Ketone-phenols and ketones with other oxygen function,291450
Quinones; coenzyme Q10 (ubidecarenone (INN)),291462
Quinones; other than anthraquinone and coenzyme Q10 (ubidecarenone (INN)),291469
"Ketones and quinones; halogenated, sulphonated, nitrated or nitrosated derivatives; chlordecone (ISO)",291471
"Ketones and quinones; halogenated, sulphonated, nitrated or nitrosated derivatives, other than chlordecone (ISO)",291479
Acids; saturated acyclic monocarboxylic acids; acetic acid and its salts n.e.c. in item no. 2915.2,291529
Acids; saturated acyclic monocarboxylic acids; dinoseb (ISO) acetate,291536
Acids; saturated acyclic monocarboxylic acids; esters of acetic acid n.e.c. in item no. 2915.3,291539
"Acids; saturated acyclic monocarboxylic acids; mono-, di- or trichloroacetic acids, their salts and esters",291540
"Acids; saturated acyclic monocarboxylic acids; propionic acid, its salts and esters",291550
"Acids; saturated acyclic monocarboxylic acids; butanoic acids, pentanoic acids, their salts and esters",291560
"Acids; saturated acyclic monocarboxylic acids; anhydrides, halides, peroxides, peroxyacids and halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2915",291590
Acids; unsaturated acyclic monocarboxylic acids; methacrylic acid and its salts,291613
"Acids; unsaturated acyclic monocarboxylic, cyclic monocarboxylic, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives, binapacryl (ISO)",291616
"Acids; unsaturated acyclic monocarboxylic, cyclic monocarboxylic, their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in item no. 2916.1",291619
"Acids; cyclanic, cyclenic or cycloterpenic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives",291620
"Acids; aromatic monocarboxylic acids, benzoic acid, its salts and esters",291631
"Acids; aromatic monocarboxylic acids, and their anhydrides, halides, peroxides, peroxyacids and their derivatives, other than benzoic acid, its salts and esters, benzoyl peroxide and benzoyl chloride, phenylacetic acid and its salts",291639
"Acids; acyclic polycarboxylic acids; azelaic acid, sebacic acid, their salts and esters",291713
Acids; acyclic polycarboxylic acids; n.e.c. in item no. 2917.1,291719
"Acids; cyclanic, cyclenic or cycloterpenic polycarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and derivatives",291720
Acids; aromatic polycarboxylic acids; other esters of orthophthalic acids,291734
Acids; aromatic polycarboxylic acids; n.e.c. in item no. 2917.3,291739
"Acids; carboxylic acids, (with alcohol function but without other oxygen function), lactic acid, its salts and esters",291811
"Acids; carboxylic acids, (with alcohol function but without other oxygen function); salts and esters of tartaric acid",291813
"Acids; carboxylic acids, (with alcohol function but without other oxygen function), gluconic acid, its salts and esters",291816
"Acids; carboxylic acids, (with alcohol function but without other oxygen function), 2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)",291817
"Acids; carboxylic acids, (with alcohol function but without other oxygen function), chlorobenzilate (ISO)",291818
"Acids; carboxylic acids, (with alcohol function but without other oxygen function), other than lactic, tartaric, citric, and gluconic acids and their salts and esters",291819
"Acids; carboxylic acids, (with phenol function but without other oxygen function), salicylic acid and its salts",291821
"Acids; carboxylic acids, (with phenol function but without other oxygen function), other esters of salicylic acid and its salts n.e.c. in item no. 2918.2",291823
"Acids; carboxylic acids, (with phenol function but without other oxygen function), their anhydrides, halides, peroxides, peroxyacids and their derivatives, n.e.c. in item no. 2918.2",291829
"Acids; carboxylic acids, (with aldehyde or ketone function but without other oxygen function), their anhydrides, halides, peroxides, peroxyacids and their derivatives",291830
"Acids; carboxylic acids, with additional oxygen function (not alcohol, phenol, aldehyde or ketone) and their anhydrides, halides, peroxides and peroxyacids; 2,4,5-T (ISO) (2,4,5-trichlorophenoxyacetic acid), its salts and esters",291891
"Acids; carboxylic acids, with additional oxygen function (not alcohol, phenol, aldehyde or ketone) and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives; other than 2,4,5-T (ISO)",291899
"Esters; phosphoric, and their salts, including lactophosphates, their halogenated, sulphonated, nitrated or nitrosated derivatives; other than tris(2,3-dibromopropyl) phosphate",291990
"Esters; phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives, dimethyl phosphite",292021
"Esters; phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives, diethyl phosphite",292022
"Esters; phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives, trimethyl phosphite",292023
"Esters; phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives, triethyl phosphite",292024
"Esters; phosphite esters and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2920",292029
"Esters; of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives, endosulfan (ISO)",292030
"Esters; other than thiophosphoric esters (phosphorothioates) and phosphite esters and their salts, their halogenated, sulphonated, nitrated or nitrosated derivatives, n.e.c. in heading no. 2920",292090
"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, 2-(N,N-Dimethylamino)ethylchloride hydrochloride",292112
"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, 2-(N,N-Diethylamino)ethylchloride hydrochloride",292113
"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, 2-(N,N-Diisopropylamino)ethylchloride hydrochloride",292114
"Amine-function compounds; acyclic monoamines and their derivatives, and salts thereof, n.e.c. in item no. 2921.1",292119
"Amine-function compounds; acyclic polyamines and their derivatives, and salts thereof, n.e.c. in item no. 2921.2",292129
"Amine-function compounds; cyclanic, cyclenic or cycloterpenic mono- or polyamines and their derivatives; salts thereof",292130
"Amine-function-compounds; aromatic monoamines and their derivatives, aniline derivatives and their salts",292142
"Amine-function compounds; aromatic monoamines and their derivatives; 1-naphthylamine (alpha-naphthylamine), 2-naphthylamine (beta-naphthaylamine) and their derivatives; salts thereof",292145
"Amine-function compounds; aromatic monoamines and derivatives; amphetamine (INN), benzphetamine (INN), dexamphetamine (INN), etilamphetamine (INN), fencamfamin (INN), lefetamine (INN), levamphetamine (INN), mefenorex (INN), phentermine (INN); salts of",292146
Amine-function compounds; aromatic monoamines and their derivatives; salts thereof; n.e.c. in item no. 2921.4,292149
"Amine-function compounds; aromatic amines and their derivatives; o-, m-, p-phenylenediamine, diaminotoluenes and their derivatives; salts thereof",292151
"Amine-function compounds; aromatic polyamines and their derivatives, other than item no. 2921.51",292159
"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, monoethanolamine and its salts",292211
"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof; dextropropoxyphene (INN) and its salts",292214
"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, Diethanolammonium perfluorooctane sulphonate",292216
"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, Methyldiethanolamine and ethyldiethanolamine",292217
"Amino-alcohols, other than those containing more than one kind of oxygen function; their ethers and esters; salts thereof, 2-(N,N- Diisopropylamino)ethanol",292218
"Amino-alcohols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof, n.e.c. in item no. 2922.1",292219
"Amino-naphthols and other amino-phenols, other than those containing more than one kind of oxygen function, their ethers and esters; salts thereof n.e.c. in item no. 2922.2",292229
"Amino-aldehydes, amino-ketones and amino-quinones; other than those containing more than one kind of oxygen function; salts thereof",292231
"Amino-aldehydes, amino-ketones and amino-quinones; other than those containing more than one kind of oxygen function; salts thereof, excluding amfepramone (INN), methadone (INN), and normethadone (INN) and salts thereof",292239
"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; lysine and its esters; salts thereof",292241
"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; glutamic acid and its esters; salts thereof",292242
"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; anthranilic acid and its esters; salts thereof",292243
"Amino-acids, other than those containing more than one kind of oxygen function, and their esters; tilidine (INN) and its esters; salts thereof",292244
"Amino-acids, other than those containing more than one kind of oxygen function, their esters; salts thereof, excluding lysine, glutamic acid, anthranalic acid and tilidine, their esters and salts thereof",292249
"Amino-alcohol-phenols, amino-acid-phenols and other amino-compounds with oxygen function",292250
"Quaternary ammonium salts and hydroxides; choline and its salts, whether or not chemically defined",292310
"Lecithins and other phosphoaminolipids, whether or not chemically defined",292320
"Quaternary ammonium salts and hydroxides; tetraethylammonium perfluorooctane sulphonate, whether or not chemically defined",292330
"Quaternary ammonium salts and hydroxides; didecyldimethylammonium perfluorooctane sulphonate, whether or not chemically defined",292340
Quaternary ammonium salts and hydroxides; whether or not chemically defined n.e.c. in heading no. 2923,292390
Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof; meprobamate (INN),292411
"Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof; fluoroacetamide (ISO), monocrotophos (ISO) and phosphamidon (ISO)",292412
"Acyclic amides (including acyclic carbamates) and their derivatives; salts thereof, other than meprobamate (INN), fluoroacetamide (ISO), monocrotophos (ISO) or phosphamidon (ISO)",292419
"Cyclic amides (including cyclic carbamates) and their derivatives, ureines and their derivatives; salts thereof",292421
Cyclic amides (including cyclic carbamates) and their derivatives; 2-acetamidobenzoic acid (N-acetylanthranillic acid) and its salts,292423
Cyclic amides (including cyclic carbamates) and their derivatives; ethinamate and its salts,292424
Cyclic amides (including cyclic carbamates) and their derivatives; alachlor (ISO) and its salts,292425
"Cyclic amides (including cyclic carbamates) and their derivatives; other than the derivatives and salts of ureines, 2-acetamidobenzoic acid (N-acetylanthancillic acid),ethinamate S, and alachlor (ISO) and their derivatives and salts",292429
Imides and their derivatives; glutethimide (INN),292512
Imides and their derivatives; other than saccharin and glutethimide (INN),292519
Imines and their derivatives; salts thereof; chlordimeform (ISO),292521
Imines and their derivatives; salts thereof; other than chlordimeform (ISO),292529
Nitrile-function compounds; acrylonitrile,292610
"Nitrile-function compounds; fenproporex (INN) and its salts; methadone (INN) intermediate (4-cyano-2-dimethylamino-4,4-diphenylbutane)",292630
Nitrile-function compounds; alpha-phenylacetoacetonitrile,292640
Nitrile-function compounds; n.e.c. heading no. 2926,292690
"Diazo-, azo- or azoxy compounds",292700
Organic derivatives of hydrazine or of hydroxylamine,292800
"Nitrogen-function compounds; n.e.c. in chapter 29, excluding isocyanates",292990
"Organo-sulphur compounds; 2-(N,N-Diethylamino) ethanethiol",293010
Organo-sulphur compounds; thiocarbamates and dithiocarbamates,293020
"Organo-sulphur compounds; thiuram mono-, di- or tetrasulphides",293030
"Organo-sulphur compounds; 2-(N,N-Diethylamino)ethanethiol",293060
Organo-sulphur compounds; bis(2-hydroxyethyl)sulfide (thiodiglycol (INN)),293070
"Organo-sulphur compounds; aldicarb (ISO), captafol (ISO) and methamidophos (ISO)",293080
Organo-sulphur compounds; n.e.c. in heading no. 2930,293090
Organo-inorganic compounds; tetramethyl lead and tetraethyl lead,293110
Organo-inorganic compounds; tributyltin compounds,293120
Non-halogenated organo-phosphorous derivatives; dimethyl methylphosphonate,293141
Non-halogenated organo-phosphorous derivatives; dimethyl propylphosphonate,293142
Non-halogenated organo-phosphorous derivatives; diethyl ethylphosphonate,293143
Non-halogenated organo-phosphorous derivatives; methylphosphonic acid,293144
Non-halogenated organo-phosphorous derivatives; salt of methylphosphonic acid and (aminominomethyl) urea (1:1),293145
"Non-halogenated organo-phosphorous derivatives; 2,4,6-tripropyl-1,3,5,2,4,6-trioxatriphosphinane 2,4,6-trioxide",293146
"Non-halogenated organo-phosphorous derivatives; (5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl) methyl methyl methylphosphonate",293147
"Non-halogenated organo-phosphorous derivatives; 3,9-dimethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5] undecane 3,9-dioxide",293148
"Non-halogenated organo-phosphorous derivatives; other non-halogenated organo-phosphorous derivatives, n.e.c. in item no. 2931.4",293149
Halogenated organo-phosphorous derivatives; methylphosphonic dichloride,293151
Halogenated organo-phosphorous derivatives; propylphosphonic dichloride,293152
Halogenated organo-phosphorous derivatives; O-(3-chloropropyl) O-[4-nitro-3-(trifluoromethyl)phenyl] methylphosphonothionate,293153
Halogenated organo-phosphorous derivatives; trichlorfon (ISO),293154
"Halogenated organo-phosphorous derivatives; other halogenated organo-phosphorous derivatives, n.e.c. in item no. 2931.5",293159
"Organo-inorganic compounds; other than tetramethyl lead, tetraethyl lead, tributyltin compounds, and other organo-phosphorus derivatives",293190
"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, sucralose",293214
"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, n.e.c. in item no. 2932.1",293219
"Heterocyclic compounds; with oxygen hetero-atom(s) only, containing an unfused furan ring (whether or not hydrogenated) in the structure, lactones",293220
"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), tetrahydrocannabinols (all isomers)",293295
"Heterocyclic compounds; with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), carbofuran (ISO)",293296
"Heterocyclic compounds; with oxygen hetero-atom(s) only, no lactones or unfused furan rings (hydrogenated or not) in the structure, other than isosafrole, 1-(1,3-benzodiaxol-5-yl) propan-2-one, piperonal, safrole, tetrahydrocannabinols (all isomers)",293299
"Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, phenazone (antipyrin) and its derivatives",293311
"Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused pyrazole ring (whether or not hydrogenated) in the structure, other than henazone (antipyrin) and its derivatives",293319
"Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, hydantoin and its derivatives",293321
"Heterocyclic compounds; with nitrogen hetero-atom(s) only, containing an unfused imidazole ring (whether or not hydrogenated) in the structure, other than hydantoin and its derivatives",293329
"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, piperidine and its salts",293332
"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, other than pyridine and its salts, other than piperidine and its salts",293333
"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, other fentanyls and their derivatives",293334
"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, 3-quinuclidinol",293335
"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, 4-anilino-N-phenethylpiperidine (ANPP)",293336
"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, N-phenethyl-4-piperdone (NPP)",293337
"Heterocyclic compounds; containing an unfused pyridine ring (whether or not hydrogenated) in the structure, n.e.c. in 2933.3",293339
"Heterocyclic compounds; containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, levorphanol (INN) and its salts",293341
"Heterocyclic compounds; containing a quinoline or isoquinoline ring-system (whether or not hydrogenated) in the structure, not further fused, other than levorphanol (INN) and its salts",293349
"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, other derivatives of malonylurea (barbituric acid) and salts thereof, n.e.c. in 2933.53",293354
"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure; loprazolam (INN), mecloqualone (INN), methaqualone (INN), and zipeprol (INN); salts thereof",293355
"Heterocyclic compounds; containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea and its derivatives, loprazolam, mecloqualone, methaqualone, zipeprol, and salts thereof) n.e.c. in 2933.5",293359
"Heterocyclic compounds; containing an unfused triazine ring (whether or not hydrogenated) in the structure, others excluding melamine",293369
Heterocyclic compounds; lactams; clobazam (INN) and methyprylon (INN),293372
Heterocyclic compounds; lactams; other than 6-hexanelactam (epsilon caprolactam) and clobazam (INN) and methyprylon (INN),293379
"Heterocyclic compounds; alprazolam (INN), camazepam (INN), chlordiazepoxide (INN), clonazepam (INN), clorazepate, delorazepam (INN), diazepam (INN), estazolam (INN), ethyl loflazepate (INN), fludiazepam (INN), flunitrazepam (INN), (cont)",293391
Heterocyclic compounds; azinphos-methyl (ISO),293392
Heterocyclic compounds; n.e.c. in headings no. 2933,293399
Heterocyclic compounds; containing an unfused thiazole ring (whether or not hydrogenated) in the structure,293410
"Heterocyclic compounds; containing in the structure, a benzothiazole ring-system (whether or not hydrogenated), not further fused",293420
"Heterocyclic compounds; containing in the structure, a phenothiazine ring-system (whether or not hydrogenated), not further fused",293430
"Other heterocyclic compounds, n.e.c. in 2934.1, 2934.2 and 2934.3",293491
"Heterocyclic compounds; other fentanyls n.e.c. in 2934, and their derivatives",293492
"Nucleic acids and their salts, other heterocyclic compounds, n.e.c. in heading number 2934",293499
Sulphonamides; N-methylperfluorooctane sulphonamide,293510
Sulphonamides; N-ethylperfluorooctane sulphonamide,293520
Sulphonamides; N-ethyl-N-(2-hydroxyethyl) perfluorooctane sulphonamide,293530
Sulphonamides; N-(2-hydroxyethyl)-N-methylperfluorooctane sulphonamide,293540
Sulphonamides; other perfluorooctane sulphonamides,293550
Sulphonamides; n.e.c. in heading no. 2935,293590
"Vitamins; vitamins A and their derivatives, unmixed",293621
"Vitamins; vitamin B1 and its derivatives, unmixed",293622
"Vitamins; vitamin B2 and its derivatives, unmixed",293623
"Vitamins; D- or DL-pantothenic acid (vitamin B5) and its derivatives, unmixed",293624
"Vitamins; vitamin B6 and its derivatives, unmixed",293625
"Vitamins; vitamin B12 and its derivatives, unmixed",293626
"Vitamins; vitamin C and its derivatives, unmixed",293627
"Vitamins; vitamin E and its derivatives, unmixed",293628
"Vitamins; n.e.c. in item no. 2936.2, and their derivatives, unmixed",293629
"Vitamins; n.e.c. in heading no. 2936, including natural concentrates",293690
"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; somatotropin, its derivatives and structural analogues",293711
"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; insulin and its salts",293712
"Polypeptide hormones, protein hormones and glycoprotein hormones, their derivatives and structural analogues; other than somatotropin, (its derivatives and structural anaologues) and insulin and its salts",293719
